Date	CHF
2019-02-20	
2019-02-21	
2019-02-22	
2019-02-23	
2019-02-24	2.49081807099
2019-02-25	1.94442507097
2019-02-26	2.21383947422
2019-02-27	1.84441774869
2019-02-28	0.936263124877
2019-03-01	0.231393576359
2019-03-02	0.115639539299
2019-03-03	-0.481311534195
2019-03-04	-1.47280514512
2019-03-05	-1.56389112517
2019-03-06	-2.77430764044
2019-03-07	-3.03444275921
2019-03-08	-3.6048169489
2019-03-09	-3.63735900038
2019-03-10	-3.43732877824
2019-03-11	-3.59390132348
2019-03-12	-3.54024612341
2019-03-13	-3.40000307833
2019-03-14	
2019-03-15	
2019-03-16	
2019-03-17	
2019-03-18	
2019-03-19	
2019-03-20	
2019-03-21	
2019-03-22	
2019-03-23	
2019-03-24	
2019-03-25	
2019-03-26	3.43461431861
2019-03-27	3.5815409737
2019-03-28	3.7090813298
2019-03-29	3.71426669949
2019-03-30	3.72197873701
2019-03-31	3.61108459255
2019-04-01	3.59974639117
2019-04-02	
2019-04-03	
2019-04-04	
2019-04-05	
2019-04-06	
2019-04-07	
2019-04-08	
2019-04-09	
2019-04-10	
2019-04-11	
2019-04-12	-2.82863290153
2019-04-13	-3.07831084866
2019-04-14	-2.86842002943
2019-04-15	-2.77001670355
2019-04-16	-2.88555827056
2019-04-17	-2.92451531788
2019-04-18	-2.89908131601
2019-04-19	-2.93120419998
2019-04-20	-3.46208540678
2019-04-21	-2.19262559819
2019-04-22	-2.77184797466
2019-04-23	-2.60695881736
2019-04-24	-0.999540957718
2019-04-25	-1.07920751166
2019-04-26	-0.264996330097
2019-04-27	-0.758226712042
2019-04-28	-0.385036744351
2019-04-29	-0.0520465056841
2019-04-30	-0.178463113174
2019-05-01	-1.26673506883
2019-05-02	-1.06640561942
2019-05-03	-5.23691715039
2019-05-04	
2019-05-05	
2019-05-06	
2019-05-07	
2019-05-08	
2019-05-09	
2019-05-10	
2019-05-11	-5.47469768104
2019-05-12	-5.36408668067
2019-05-13	-5.17257705944
2019-05-14	-4.95534142145
2019-05-15	-4.8766937464
2019-05-16	-4.90227147895
2019-05-17	-4.88945864603
2019-05-18	
2019-05-19	-3.63635555431
2019-05-20	-3.66661593505
2019-05-21	-3.74739280465
2019-05-22	-3.74900627525
2019-05-23	-3.25962999883
2019-05-24	-3.33801980635
2019-05-25	-3.36695694982
2019-05-26	-3.31624383761
2019-05-27	-3.59277817821
2019-05-28	-3.62265487887
2019-05-29	-3.70618887553
2019-05-30	-4.05380481767
2019-05-31	-4.02801213884
2019-06-01	-3.76180807735
2019-06-02	
2019-06-03	
2019-06-04	
2019-06-05	
2019-06-06	
2019-06-07	
2019-06-08	
2019-06-09	
2019-06-10	
2019-06-11	
2019-06-12	
2019-06-13	
2019-06-14	
2019-06-15	
2019-06-16	
2019-06-17	
2019-06-18	
2019-06-19	
2019-06-20	0.483005923883
2019-06-21	-0.911335993946
2019-06-22	-0.738860090038
2019-06-23	-0.746286755492
2019-06-24	-0.742343587982
2019-06-25	-0.686553366678
2019-06-26	-0.376033008084
2019-06-27	-1.74114324666
2019-06-28	
2019-06-29	
2019-06-30	-0.939424231224
2019-07-01	0.631163595798
2019-07-02	1.786826914
2019-07-03	1.60756015695
2019-07-04	1.57860841689
2019-07-05	1.70518355016
2019-07-06	1.80802174498
2019-07-07	3.32872796668
2019-07-08	4.47095089602
2019-07-09	
2019-07-10	
2019-07-11	
2019-07-12	
2019-07-13	
2019-07-14	-4.20999781093
2019-07-15	-4.35750444661
2019-07-16	-4.32708193809
2019-07-17	-4.43906333786
2019-07-18	-4.15868589041
2019-07-19	-4.13441991272
2019-07-20	-3.64780333718
2019-07-21	-3.6249940359
2019-07-22	-3.18144941561
2019-07-23	-3.06788452736
2019-07-24	-2.96946212193
2019-07-25	-2.78644321942
2019-07-26	-3.22329848995
2019-07-27	-3.48602820759
2019-07-28	-3.43193846581
2019-07-29	-3.49479320669
2019-07-30	-3.60983923614
2019-07-31	-3.66100916198
2019-08-01	-0.962856778634
2019-08-02	-0.486738509131
2019-08-03	-0.434583247197
2019-08-04	-1.57906023253
2019-08-05	-1.51928727218
2019-08-06	-1.25502769076
2019-08-07	-1.10200819088
2019-08-08	-3.21182184635
2019-08-09	-3.74361759377
2019-08-10	-3.00535441912
2019-08-11	-2.81151589306
2019-08-12	-2.95308729674
2019-08-13	-2.18346072583
2019-08-14	-2.17045385599
2019-08-15	-2.21811423771
2019-08-16	-1.72361223195
2019-08-17	-1.62326152762
2019-08-18	-1.03576908034
2019-08-19	0.207491460043
2019-08-20	0.553494194605
2019-08-21	0.312311855689
2019-08-22	0.424176427824
2019-08-23	
2019-08-24	
2019-08-25	
2019-08-26	
2019-08-27	
2019-08-28	
2019-08-29	
2019-08-30	-1.83140879034
2019-08-31	-1.72521524634
2019-09-01	-1.89631697674
2019-09-02	-0.980353481811
2019-09-03	-1.00163125654
2019-09-04	-1.24200379487
2019-09-05	-1.4436561304
2019-09-06	-0.6755944616
2019-09-07	-0.558557413858
2019-09-08	-0.241461281501
2019-09-09	
2019-09-10	
2019-09-11	
2019-09-12	
2019-09-13	
2019-09-14	
2019-09-15	
2019-09-16	
2019-09-17	
2019-09-18	
2019-09-19	
2019-09-20	
2019-09-21	
2019-09-22	
2019-09-23	
2019-09-24	
2019-09-25	
2019-09-26	
2019-09-27	
2019-09-28	
2019-09-29	
2019-09-30	
2019-10-01	
2019-10-02	-3.17168837414
2019-10-03	-2.93991747767
2019-10-04	-2.48463053731
2019-10-05	-1.95607423894
2019-10-06	-2.22354782363
2019-10-07	-2.17177957656
2019-10-08	-2.13401739244
2019-10-09	-2.41450566208
