Date	Financials
2019-07-13	-0.47304302628
2019-07-14	-0.470561480872
2019-07-15	-0.372160587604
2019-07-16	-0.19288447893
2019-07-17	0.044485767761
2019-07-18	0.0467758592963
2019-07-19	0.0414434453378
2019-07-20	0.0304716366257
2019-07-21	0.0387306059361
2019-07-22	0.138869393224
2019-07-23	-0.0382818942902
2019-07-24	-0.509921693844
2019-07-25	-0.434008280579
2019-07-26	-0.521379691704
2019-07-27	-0.512787441179
2019-07-28	-0.529999136643
2019-07-29	-0.522582527537
2019-07-30	-0.512405764673
2019-07-31	-0.523385175181
2019-08-01	-0.675927527917
2019-08-02	
2019-08-03	
2019-08-04	
2019-08-05	
2019-08-06	
2019-08-07	
2019-08-08	
2019-08-09	
2019-08-10	
2019-08-11	
2019-08-12	
2019-08-13	
2019-08-14	
2019-08-15	
2019-08-16	
2019-08-17	
2019-08-18	
2019-08-19	
2019-08-20	
2019-08-21	
2019-08-22	
2019-08-23	
2019-08-24	
2019-08-25	
2019-08-26	
2019-08-27	
2019-08-28	
2019-08-29	
2019-08-30	
2019-08-31	
2019-09-01	
2019-09-02	
2019-09-03	
2019-09-04	
2019-09-05	
2019-09-06	
2019-09-07	
2019-09-08	
2019-09-09	
2019-09-10	
2019-09-11	
2019-09-12	
2019-09-13	
2019-09-14	
2019-09-15	
2019-09-16	
2019-09-17	
2019-09-18	
2019-09-19	
2019-09-20	
2019-09-21	
2019-09-22	
2019-09-23	
2019-09-24	
2019-09-25	
2019-09-26	0.307203709297
2019-09-27	0.312534376896
2019-09-28	0.311250427916
2019-09-29	0.300928499345
2019-09-30	0.329006243673
2019-10-01	0.35765676126
2019-10-02	0.385911079789
2019-10-03	
2019-10-04	
2019-10-05	
2019-10-06	
2019-10-07	
2019-10-08	
2019-10-09	
