Date	AUD
2017-10-08	-0.688011649135
2017-10-09	0.380824946116
2017-10-10	0.307641452811
2017-10-11	0.0963844703317
2017-10-12	-1.16824431088
2017-10-13	-1.37085139479
2017-10-14	-1.24822910029
2017-10-15	-1.49218589942
2017-10-16	2.83386150469
2017-10-17	2.85973701476
2017-10-18	2.96832023443
2017-10-19	3.11715770213
2017-10-20	3.10746909113
2017-10-21	3.02644883869
2017-10-22	3.19397674425
2017-10-23	-2.67438259468
2017-10-24	-2.7865315212
2017-10-25	-1.82028729708
2017-10-26	-1.74605384743
2017-10-27	-1.39703054992
2017-10-28	-1.25354744745
2017-10-29	-1.29622929604
2017-10-30	-0.7062772438
2017-10-31	-0.687615146224
2017-11-01	-0.801587561789
2017-11-02	-0.846724286153
2017-11-03	-0.954503240048
2017-11-04	-0.959652543704
2017-11-05	-2.00421489445
2017-11-06	-1.88086414849
2017-11-07	-0.946108239364
2017-11-08	-0.917595643859
2017-11-09	-0.786117252974
2017-11-10	-0.886480194726
2017-11-11	-1.18193257666
2017-11-12	-0.436796151304
2017-11-13	-0.128769608262
2017-11-14	-1.66606731255
2017-11-15	-1.60963157815
2017-11-16	-1.72861129204
2017-11-17	-1.54857594932
2017-11-18	-1.26219610894
2017-11-19	
2017-11-20	-0.491088746196
2017-11-21	-0.618966208812
2017-11-22	-0.763432199767
2017-11-23	-0.404898435388
2017-11-24	-0.510235708683
2017-11-25	-0.869460995282
2017-11-26	-0.681827677572
2017-11-27	-0.558129332606
2017-11-28	-0.523044544917
2017-11-29	-0.528628873702
2017-11-30	-0.393181075244
2017-12-01	-0.428831086567
2017-12-02	-0.445598311861
2017-12-03	
2017-12-04	
2017-12-05	
2017-12-06	
2017-12-07	
2017-12-08	
2017-12-09	
2017-12-10	
2017-12-11	
2017-12-12	
2017-12-13	0.738878764626
2017-12-14	0.287481733733
2017-12-15	0.19250989888
2017-12-16	0.0240460467633
2017-12-17	-0.0926690649647
2017-12-18	0.150886488681
2017-12-19	0.0485105441199
2017-12-20	-0.269414744734
2017-12-21	-1.36411562415
2017-12-22	-1.34309381892
2017-12-23	-1.308338594
2017-12-24	-1.19339255829
2017-12-25	-1.08040144616
2017-12-26	-0.880415636465
2017-12-27	-1.52069520559
2017-12-28	-2.03959964856
2017-12-29	-1.84247378063
2017-12-30	-1.8087369282
2017-12-31	-1.34092119641
2018-01-01	-1.47239457858
2018-01-02	-0.301297987984
2018-01-03	2.55215354387
2018-01-04	3.11689418079
2018-01-05	2.39863097381
2018-01-06	2.33326245867
2018-01-07	1.89251333719
2018-01-08	1.26018421583
2018-01-09	1.53034901842
2018-01-10	1.31942948617
2018-01-11	0.676748994132
2018-01-12	0.905588508182
2018-01-13	0.804233721473
2018-01-14	-1.34611193758
2018-01-15	
2018-01-16	-0.775745581936
2018-01-17	-0.979362335635
2018-01-18	-0.828912993882
2018-01-19	-0.521228809908
2018-01-20	-0.19821495368
2018-01-21	-0.0508184369107
2018-01-22	0.405196831331
2018-01-23	-0.195094901536
2018-01-24	-0.187008209831
2018-01-25	-0.242241186266
2018-01-26	0.657583450233
2018-01-27	0.282999189143
2018-01-28	0.125979624585
2018-01-29	-0.786199395807
2018-01-30	0.152423237655
2018-01-31	0.0863739562491
2018-02-01	0.0893603111569
2018-02-02	-2.19822072181
2018-02-03	-1.81213044671
2018-02-04	-1.51277105712
2018-02-05	
2018-02-06	
2018-02-07	-0.248959240332
2018-02-08	-0.283999352334
2018-02-09	-9.28230737198e-05
2018-02-10	0.242622678298
2018-02-11	-0.0188460237008
2018-02-12	-0.155192448782
2018-02-13	-0.506584540252
2018-02-14	3.23498499744
2018-02-15	1.43573491742
2018-02-16	1.13013806712
2018-02-17	0.902846039684
2018-02-18	0.92459087155
2018-02-19	0.753335047429
2018-02-20	0.848203237289
2018-02-21	-0.870748893707
2018-02-22	
2018-02-23	
2018-02-24	
2018-02-25	-0.403486223539
2018-02-26	-0.328924865387
2018-02-27	-0.459245224124
2018-02-28	-0.362967300846
2018-03-01	-0.331910169264
2018-03-02	1.52187333107
2018-03-03	1.46831873235
2018-03-04	3.51345602758
2018-03-05	3.54505486243
2018-03-06	3.56710408282
2018-03-07	3.62874254051
2018-03-08	3.67973421753
2018-03-09	
2018-03-10	
2018-03-11	
2018-03-12	
2018-03-13	
2018-03-14	
2018-03-15	
2018-03-16	-0.744796698388
2018-03-17	-1.03599671012
2018-03-18	-0.665134882241
2018-03-19	-0.642312557958
2018-03-20	-0.689100309393
2018-03-21	-0.702450714526
2018-03-22	-0.6244272448
2018-03-23	
2018-03-24	
2018-03-25	
2018-03-26	
2018-03-27	
2018-03-28	
2018-03-29	
2018-03-30	
2018-03-31	
2018-04-01	-0.756416302683
2018-04-02	-1.03110236992
2018-04-03	-1.06873684003
2018-04-04	-1.71647367618
2018-04-05	-1.70661714072
2018-04-06	-1.5664973442
2018-04-07	-1.13420078031
2018-04-08	-1.76867773051
2018-04-09	-2.78030308856
2018-04-10	-2.88785258289
2018-04-11	
2018-04-12	
2018-04-13	
2018-04-14	
2018-04-15	0.806816624034
2018-04-16	0.707225377979
2018-04-17	0.801290115507
2018-04-18	0.805416018861
2018-04-19	0.899539269937
2018-04-20	0.998879603644
2018-04-21	0.761073481941
2018-04-22	
2018-04-23	
2018-04-24	
2018-04-25	
2018-04-26	-2.63224394976
2018-04-27	-2.70632531162
2018-04-28	-2.48444829196
2018-04-29	-2.46827375731
2018-04-30	-2.52537036934
2018-05-01	-2.53083443111
2018-05-02	-2.64277597548
2018-05-03	
2018-05-04	-1.92867968442
2018-05-05	-1.80304692607
2018-05-06	-1.7886105565
2018-05-07	-1.7500254576
2018-05-08	-1.65874093858
2018-05-09	-1.61106929173
2018-05-10	-1.69554309
