Date	Germany
2018-12-28	
2018-12-29	
2018-12-30	
2018-12-31	
2019-01-01	
2019-01-02	
2019-01-03	
2019-01-04	
2019-01-05	
2019-01-06	
2019-01-07	
2019-01-08	-2.40409411739
2019-01-09	-2.47551147304
2019-01-10	-2.79117572211
2019-01-11	-2.73043404035
2019-01-12	-2.73043404035
2019-01-13	-2.46847405851
2019-01-14	-2.07524653657
2019-01-15	
2019-01-16	
2019-01-17	
2019-01-18	
2019-01-19	
2019-01-20	
2019-01-21	
2019-01-22	
2019-01-23	
2019-01-24	
2019-01-25	
2019-01-26	
2019-01-27	
2019-01-28	
2019-01-29	
2019-01-30	-4.23109264742
2019-01-31	-4.20281978168
2019-02-01	-4.1488396996
2019-02-02	-4.49134997203
2019-02-03	-3.91063195151
2019-02-04	-3.64361707126
2019-02-05	-3.55225793099
2019-02-06	
2019-02-07	
2019-02-08	
2019-02-09	
2019-02-10	
2019-02-11	
2019-02-12	3.38038257236
2019-02-13	3.0310505812
2019-02-14	2.61325901287
2019-02-15	1.82298132032
2019-02-16	1.08196065756
2019-02-17	0.711522175004
2019-02-18	0.802140024245
2019-02-19	-4.00708411376
2019-02-20	-2.40810597759
2019-02-21	-1.98827803985
2019-02-22	-1.45370634011
2019-02-23	-1.60462571098
2019-02-24	-1.8475584575
2019-02-25	-1.82261622286
2019-02-26	-0.945867446037
2019-02-27	-1.24329133149
2019-02-28	
2019-03-01	
2019-03-02	
2019-03-03	
2019-03-04	
2019-03-05	
2019-03-06	
2019-03-07	-3.12359166963
2019-03-08	-2.66075286819
2019-03-09	-1.73666021665
2019-03-10	-0.933852413547
2019-03-11	-0.492932729722
2019-03-12	-0.938408481347
2019-03-13	-1.04713201046
2019-03-14	
2019-03-15	
2019-03-16	
2019-03-17	
2019-03-18	
2019-03-19	
2019-03-20	
2019-03-21	
2019-03-22	
2019-03-23	
2019-03-24	
2019-03-25	
2019-03-26	
2019-03-27	
2019-03-28	
2019-03-29	
2019-03-30	
2019-03-31	
2019-04-01	
2019-04-02	
2019-04-03	
2019-04-04	
2019-04-05	
2019-04-06	
2019-04-07	
2019-04-08	-2.10277640742
2019-04-09	-2.13956931121
2019-04-10	-1.83191112374
2019-04-11	-2.26114910471
2019-04-12	-2.61326521135
2019-04-13	-2.61326521135
2019-04-14	-2.44806127057
2019-04-15	
2019-04-16	
2019-04-17	
2019-04-18	
2019-04-19	
2019-04-20	
2019-04-21	
2019-04-22	
2019-04-23	-0.0551203865903
2019-04-24	0.911230877066
2019-04-25	1.15377198156
2019-04-26	0.369555002138
2019-04-27	-0.632594185428
2019-04-28	-1.2216576652
2019-04-29	-0.825219456636
2019-04-30	-0.527892866057
2019-05-01	-2.29090932667
2019-05-02	-2.32805486491
2019-05-03	
2019-05-04	
2019-05-05	
2019-05-06	
2019-05-07	
2019-05-08	-0.843580762598
2019-05-09	-0.829941749438
2019-05-10	-1.18093271751
2019-05-11	-0.166003947227
2019-05-12	-0.166003947227
2019-05-13	-0.0193751826136
2019-05-14	-0.22164209741
2019-05-15	-0.376049473235
2019-05-16	-0.299275011906
2019-05-17	0.00561200696475
2019-05-18	0.174001273555
2019-05-19	0.174001273555
2019-05-20	0.172095050502
2019-05-21	0.220253638444
2019-05-22	0.231375567762
2019-05-23	
2019-05-24	
2019-05-25	
2019-05-26	-3.95913591505
2019-05-27	-3.8963958344
2019-05-28	-1.74511297985
2019-05-29	-1.94751747282
2019-05-30	-1.84637098174
2019-05-31	-1.95913353502
2019-06-01	-2.9965974834
2019-06-02	-1.02082697086
2019-06-03	-1.64602406718
2019-06-04	
2019-06-05	
2019-06-06	
2019-06-07	
2019-06-08	
2019-06-09	
2019-06-10	
2019-06-11	
2019-06-12	
2019-06-13	-3.10566902684
2019-06-14	-2.74761709263
2019-06-15	-1.21115243535
2019-06-16	-1.76679278154
2019-06-17	-1.10537729594
2019-06-18	-1.05323399808
2019-06-19	-0.973753580006
2019-06-20	-0.124185979083
2019-06-21	-0.285966571864
2019-06-22	-0.982204781605
2019-06-23	-0.261078021894
2019-06-24	-0.558773619664
2019-06-25	-0.696013145517
2019-06-26	-0.424824029604
2019-06-27	-1.51102557622
2019-06-28	-1.08730080168
2019-06-29	-0.112035145089
2019-06-30	-0.112035145089
2019-07-01	0.0121535334737
2019-07-02	-0.0236885506443
2019-07-03	0.151609551444
2019-07-04	
2019-07-05	
2019-07-06	
2019-07-07	
2019-07-08	-1.15190113069
2019-07-09	-1.42457591093
2019-07-10	-1.06994658585
2019-07-11	-1.48439627607
2019-07-12	-1.34275020002
2019-07-13	-1.34275020002
2019-07-14	-1.34275020002
2019-07-15	-1.48034750469
2019-07-16	
2019-07-17	
2019-07-18	
2019-07-19	-3.29486705873
2019-07-20	-3.29486705873
2019-07-21	-3.29486705873
2019-07-22	-2.81816381236
2019-07-23	-3.07017922059
2019-07-24	-2.74354329693
2019-07-25	-2.06961558881
