Date	Industrials
2019-03-23	-0.238675818793
2019-03-24	-0.242092482475
2019-03-25	-0.273184972903
2019-03-26	-0.366345782667
2019-03-27	-0.253501458058
2019-03-28	-0.277196014693
2019-03-29	-0.262997204314
2019-03-30	-0.205707486614
2019-03-31	-0.190202829267
2019-04-01	-0.189033588427
2019-04-02	-0.173559154399
2019-04-03	-0.19265784817
2019-04-04	-0.16906253298
2019-04-05	-0.2591670171
2019-04-06	-0.374530694091
2019-04-07	-0.3944900085
2019-04-08	-0.232190747409
2019-04-09	-0.222939308745
2019-04-10	-0.142250015353
2019-04-11	-0.133395925134
2019-04-12	-0.206085025549
2019-04-13	-0.191350293406
2019-04-14	-0.166318567905
2019-04-15	-0.267549491793
2019-04-16	-0.221854049122
2019-04-17	-0.229339221405
2019-04-18	-0.230527637661
2019-04-19	0.0101001029743
2019-04-20	-0.0774400156765
2019-04-21	-0.0785553491708
2019-04-22	-0.0918204077987
2019-04-23	-0.0796652800403
2019-04-24	-0.110842193811
2019-04-25	-0.106504794568
2019-04-26	-0.0924366323854
2019-04-27	-0.0383579800045
2019-04-28	-0.0559113924194
2019-04-29	-0.110151364115
2019-04-30	-0.120980298002
2019-05-01	-0.158754575832
2019-05-02	-0.258086355643
2019-05-03	-0.341338137349
2019-05-04	-0.507782067825
2019-05-05	-0.460039978029
2019-05-06	-0.461139134956
2019-05-07	-0.38151601586
2019-05-08	-0.396689923571
2019-05-09	-0.310952906769
2019-05-10	-0.317370665739
2019-05-11	-0.317000593806
2019-05-12	-0.35483277714
2019-05-13	-0.342472157321
2019-05-14	-0.373510388249
2019-05-15	-0.358653369701
2019-05-16	-0.35530803833
2019-05-17	
2019-05-18	
2019-05-19	
2019-05-20	
2019-05-21	
2019-05-22	
2019-05-23	
2019-05-24	
2019-05-25	
2019-05-26	
2019-05-27	-0.178722433094
2019-05-28	-0.162511012717
2019-05-29	-0.325805997786
2019-05-30	-0.334116218648
2019-05-31	-0.333857774075
2019-06-01	-0.316325529651
2019-06-02	-0.285869717761
2019-06-03	-0.418730045415
2019-06-04	-0.422966586197
2019-06-05	
2019-06-06	-0.00819956782643
2019-06-07	-0.00777406600519
2019-06-08	-0.0355113002909
2019-06-09	0.191222146323
2019-06-10	0.180297585998
2019-06-11	0.183749366769
2019-06-12	0.195865104707
2019-06-13	0.39823100418
2019-06-14	0.413734631822
2019-06-15	0.452298447971
2019-06-16	0.456017584238
2019-06-17	0.442150440657
2019-06-18	0.439018382538
2019-06-19	0.431436204844
2019-06-20	0.504754396069
2019-06-21	0.544624202813
2019-06-22	0.488438572378
2019-06-23	0.495390207951
2019-06-24	0.506182810321
2019-06-25	0.517485713809
2019-06-26	0.519054616622
2019-06-27	
2019-06-28	
2019-06-29	
2019-06-30	
2019-07-01	
2019-07-02	
2019-07-03	
2019-07-04	
2019-07-05	
2019-07-06	
2019-07-07	
2019-07-08	
2019-07-09	
2019-07-10	
2019-07-11	
2019-07-12	
2019-07-13	
2019-07-14	
2019-07-15	-0.0740899980908
2019-07-16	0.085282198278
2019-07-17	0.111699844177
2019-07-18	0.11008916074
2019-07-19	0.104515097983
2019-07-20	0.0950648317492
2019-07-21	0.0927755484671
2019-07-22	-0.055837689177
2019-07-23	-0.37031417773
2019-07-24	-0.376546593857
2019-07-25	-0.289918776817
2019-07-26	-0.302066515617
2019-07-27	-0.23871636513
2019-07-28	-0.242714035765
2019-07-29	-0.18917030135
2019-07-30	-0.0292017108743
2019-07-31	-0.0446172560624
2019-08-01	-0.0135279286466
2019-08-02	0.0730007947292
2019-08-03	0.139940583747
2019-08-04	0.142912852655
2019-08-05	0.371193691833
2019-08-06	
2019-08-07	
2019-08-08	
2019-08-09	
2019-08-10	
2019-08-11	
2019-08-12	
2019-08-13	
2019-08-14	
2019-08-15	
2019-08-16	
2019-08-17	
2019-08-18	
2019-08-19	
2019-08-20	
2019-08-21	
2019-08-22	
2019-08-23	
2019-08-24	
2019-08-25	
2019-08-26	
2019-08-27	
2019-08-28	
2019-08-29	
2019-08-30	
2019-08-31	
2019-09-01	
2019-09-02	-0.20899599944
2019-09-03	-0.192079404464
2019-09-04	-0.179015707749
2019-09-05	-0.191713921513
2019-09-06	-0.19507889873
2019-09-07	-0.207028228461
2019-09-08	-0.206277057032
2019-09-09	
2019-09-10	
2019-09-11	
2019-09-12	
2019-09-13	
2019-09-14	
2019-09-15	
2019-09-16	
2019-09-17	
2019-09-18	
2019-09-19	
2019-09-20	
2019-09-21	
2019-09-22	
2019-09-23	
2019-09-24	
2019-09-25	
2019-09-26	
2019-09-27	
2019-09-28	
2019-09-29	
2019-09-30	
2019-10-01	
2019-10-02	
2019-10-03	-0.109975920794
2019-10-04	-0.110665605587
2019-10-05	-0.0797479168695
2019-10-06	-0.0806443313407
2019-10-07	-0.0727123743659
2019-10-08	-0.0645977492323
2019-10-09	-0.0647679050501
