Date	Japan
2018-10-10	-2.34181750698
2018-10-11	
2018-10-12	
2018-10-13	
2018-10-14	
2018-10-15	
2018-10-16	
2018-10-17	
2018-10-18	-0.737583502391
2018-10-19	-0.718083088261
2018-10-20	-0.768746986387
2018-10-21	-0.768799133364
2018-10-22	-0.961141269621
2018-10-23	-0.64686803823
2018-10-24	-0.451146699748
2018-10-25	
2018-10-26	
2018-10-27	
2018-10-28	
2018-10-29	
2018-10-30	
2018-10-31	
2018-11-01	-1.45587100991
2018-11-02	-1.78977639449
2018-11-03	-2.0964831177
2018-11-04	-1.68518286407
2018-11-05	-1.86074195046
2018-11-06	-1.8868783218
2018-11-07	-1.8715401599
2018-11-08	-1.13545528222
2018-11-09	-0.703307455737
2018-11-10	-0.12142086617
2018-11-11	
2018-11-12	
2018-11-13	
2018-11-14	0.196411554912
2018-11-15	0.169502007413
2018-11-16	0.0672347343431
2018-11-17	0.0724329885114
2018-11-18	0.0743507723364
2018-11-19	7.70562898597e-05
2018-11-20	-1.29064585058
2018-11-21	-1.42398216171
2018-11-22	-1.31947541664
2018-11-23	-1.29050381888
2018-11-24	-1.68594845817
2018-11-25	-1.58652883552
2018-11-26	-1.39252763696
2018-11-27	-0.565419886495
2018-11-28	0.784230405118
2018-11-29	0.330417998576
2018-11-30	0.27067777807
2018-12-01	0.570106097532
2018-12-02	0.348468736722
2018-12-03	0.786253719822
2018-12-04	0.814958276296
2018-12-05	-0.307708125931
2018-12-06	
2018-12-07	
2018-12-08	
2018-12-09	
2018-12-10	
2018-12-11	
2018-12-12	
2018-12-13	
2018-12-14	
2018-12-15	
2018-12-16	
2018-12-17	
2018-12-18	
2018-12-19	
2018-12-20	
2018-12-21	
2018-12-22	
2018-12-23	
2018-12-24	
2018-12-25	
2018-12-26	
2018-12-27	
2018-12-28	
2018-12-29	
2018-12-30	
2018-12-31	
2019-01-01	
2019-01-02	
2019-01-03	
2019-01-04	
2019-01-05	
2019-01-06	
2019-01-07	
2019-01-08	
2019-01-09	
2019-01-10	-1.32434377817
2019-01-11	-1.4659444461
2019-01-12	-1.79190712563
2019-01-13	-1.83237565468
2019-01-14	-1.53397232803
2019-01-15	-1.50342782024
2019-01-16	-1.43853605018
2019-01-17	-3.82675300646
2019-01-18	-2.15711891674
2019-01-19	-2.23759618585
2019-01-20	-2.22115588925
2019-01-21	-2.21966647055
2019-01-22	-1.81862575762
2019-01-23	-1.12932715229
2019-01-24	-0.0137455585553
2019-01-25	-0.0810663939895
2019-01-26	-1.93661552175
2019-01-27	-1.77364144823
2019-01-28	-1.67879418432
2019-01-29	-1.84601374838
2019-01-30	-2.99762884582
2019-01-31	-1.50679453037
2019-02-01	-1.26785055949
2019-02-02	0.00943188170611
2019-02-03	0.0486652481331
2019-02-04	-0.131629853467
2019-02-05	-0.263028939794
2019-02-06	1.53250366682
2019-02-07	
2019-02-08	
2019-02-09	
2019-02-10	
2019-02-11	
2019-02-12	
2019-02-13	0.328980278427
2019-02-14	0.052901681046
2019-02-15	-0.17935474707
2019-02-16	-0.618302958201
2019-02-17	-1.02896846781
2019-02-18	-1.15749498338
2019-02-19	-1.17468002938
2019-02-20	
2019-02-21	
2019-02-22	-2.75092863502
2019-02-23	-2.393574132
2019-02-24	-2.20718683812
2019-02-25	-2.05869518576
2019-02-26	-1.9152866485
2019-02-27	-1.66974834198
2019-02-28	-1.6036424541
2019-03-01	
2019-03-02	
2019-03-03	
2019-03-04	
2019-03-05	
2019-03-06	
2019-03-07	
2019-03-08	
2019-03-09	
2019-03-10	
2019-03-11	
2019-03-12	
2019-03-13	
2019-03-14	
2019-03-15	
2019-03-16	
2019-03-17	
2019-03-18	
2019-03-19	
2019-03-20	
2019-03-21	
2019-03-22	
2019-03-23	
2019-03-24	
2019-03-25	
2019-03-26	
2019-03-27	-0.18701811849
2019-03-28	-0.769900641061
2019-03-29	-0.888252593411
2019-03-30	-0.966175943688
2019-03-31	-1.43968981257
2019-04-01	-1.93278275834
2019-04-02	-2.0262911406
2019-04-03	-2.89252945804
2019-04-04	-2.25599310037
2019-04-05	-2.41894582381
2019-04-06	-1.77557388235
2019-04-07	-1.93578980284
2019-04-08	-1.85092150255
2019-04-09	-1.68350997305
2019-04-10	-1.44010734519
2019-04-11	-1.45532216574
2019-04-12	-1.23914884797
2019-04-13	-1.31023444035
2019-04-14	-1.21936454957
2019-04-15	-1.12767297933
2019-04-16	-1.4314035613
2019-04-17	
2019-04-18	
2019-04-19	
2019-04-20	
2019-04-21	
2019-04-22	
2019-04-23	
2019-04-24	
2019-04-25	
2019-04-26	
2019-04-27	
2019-04-28	
2019-04-29	
2019-04-30	
2019-05-01	
2019-05-02	
2019-05-03	
2019-05-04	
2019-05-05	
2019-05-06	
2019-05-07	
2019-05-08	
2019-05-09	
2019-05-10	
2019-05-11	
2019-05-12	
2019-05-13	
2019-05-14	
2019-05-15	
2019-05-16	
2019-05-17	
2019-05-18	
2019-05-19	
2019-05-20	-1.22467932886
2019-05-21	-1.34086020385
2019-05-22	-1.28179534235
2019-05-23	-1.14365053956
2019-05-24	-1.02621861526
2019-05-25	-1.25041837971
2019-05-26	-1.29199792856
2019-05-27	
2019-05-28	
2019-05-29	
2019-05-30	
2019-05-31	
2019-06-01	
2019-06-02	
2019-06-03	
2019-06-04	
2019-06-05	
2019-06-06	
2019-06-07	
2019-06-08	
2019-06-09	
2019-06-10	
2019-06-11	
2019-06-12	-2.54261254669
2019-06-13	-2.39859471649
2019-06-14	-2.19675417004
2019-06-15	-1.83972021158
2019-06-16	-1.5258550823
2019-06-17	-1.29734493128
2019-06-18	-1.04637992839
2019-06-19	
2019-06-20	-0.0560396675767
2019-06-21	-0.193485966606
2019-06-22	-0.0318410520126
2019-06-23	-0.247740511918
2019-06-24	-0.352411498498
2019-06-25	-0.238319886712
2019-06-26	-0.112121588743
2019-06-27	
2019-06-28	
2019-06-29	
2019-06-30	
2019-07-01	
2019-07-02	
2019-07-03	
2019-07-04	
2019-07-05	
2019-07-06	
2019-07-07	
2019-07-08	-1.64548411924
2019-07-09	-1.54884553497
2019-07-10	-1.50173590383
2019-07-11	-1.07293586348
2019-07-12	-1.25860923915
2019-07-13	-1.31572691877
2019-07-14	-1.51143463668
2019-07-15	-1.26737272929
2019-07-16	-1.63111875822
2019-07-17	-1.99532299111
2019-07-18	-2.24454281879
2019-07-19	-2.16957553103
2019-07-20	-1.975717621
2019-07-21	-1.79300223099
2019-07-22	-1.72226008492
2019-07-23	-1.52264049108
2019-07-24	-0.824048737385
2019-07-25	-1.18745303627
2019-07-26	-1.22205858196
2019-07-27	-1.2487124729
2019-07-28	-1.39900795246
2019-07-29	-1.43813373331
2019-07-30	-1.44430380903
2019-07-31	-0.470676457698
2019-08-01	0.492324139933
2019-08-02	0.612508660794
2019-08-03	0.657386515428
2019-08-04	0.905579230745
2019-08-05	-0.607355926662
2019-08-06	-0.54773468982
2019-08-07	-2.25201731392
2019-08-08	-2.58628439634
2019-08-09	-2.63791788889
2019-08-10	-2.78829648616
2019-08-11	-3.04794363188
2019-08-12	
2019-08-13	
2019-08-14	
2019-08-15	
2019-08-16	
2019-08-17	
2019-08-18	
2019-08-19	
2019-08-20	
