Date	Utilities
2018-06-29	-0.188229295772
2018-06-30	-0.249021877816
2018-07-01	-0.307395291374
2018-07-02	-0.3581882757
2018-07-03	-0.345800530079
2018-07-04	-0.364568177767
2018-07-05	-0.347902895643
2018-07-06	-0.390770360198
2018-07-07	-0.398560625297
2018-07-08	-0.391664672916
2018-07-09	
2018-07-10	
2018-07-11	-0.0790224395487
2018-07-12	-0.0801729061364
2018-07-13	-0.103390391928
2018-07-14	-0.0630507117983
2018-07-15	-0.0271700029547
2018-07-16	-0.0458823431445
2018-07-17	-0.0418054889256
2018-07-18	-0.0277132533017
2018-07-19	-0.0294116572922
2018-07-20	-0.0200984890597
2018-07-21	-0.0750587306181
2018-07-22	-0.079904570414
2018-07-23	-0.0581646336283
2018-07-24	
2018-07-25	
2018-07-26	
2018-07-27	
2018-07-28	
2018-07-29	
2018-07-30	
2018-07-31	
2018-08-01	
2018-08-02	
2018-08-03	
2018-08-04	
2018-08-05	
2018-08-06	
2018-08-07	
2018-08-08	
2018-08-09	
2018-08-10	
2018-08-11	
2018-08-12	
2018-08-13	
2018-08-14	
2018-08-15	
2018-08-16	0.376500582635
2018-08-17	0.369501543112
2018-08-18	0.393701102258
2018-08-19	0.368150696702
2018-08-20	0.351046610884
2018-08-21	0.346654138681
2018-08-22	0.318587352014
2018-08-23	
2018-08-24	
2018-08-25	
2018-08-26	
2018-08-27	
2018-08-28	
2018-08-29	
2018-08-30	
2018-08-31	
2018-09-01	
2018-09-02	
2018-09-03	-0.145188638011
2018-09-04	-0.3501450821
2018-09-05	-0.347506490821
2018-09-06	-0.36021781058
2018-09-07	-0.352662074659
2018-09-08	-0.369500670254
2018-09-09	-0.36412976876
2018-09-10	-0.564735790345
2018-09-11	
2018-09-12	
2018-09-13	
2018-09-14	
2018-09-15	
2018-09-16	
2018-09-17	-0.905656306584
2018-09-18	-0.894947400464
2018-09-19	-0.893162691531
2018-09-20	-0.90518745324
2018-09-21	-0.92663898734
2018-09-22	-0.931392162924
2018-09-23	-0.957811262659
2018-09-24	
2018-09-25	
2018-09-26	
2018-09-27	
2018-09-28	0.0241383653893
2018-09-29	0.0244344770376
2018-09-30	0.0181701873551
2018-10-01	0.0046886778018
2018-10-02	-0.0109544209044
2018-10-03	-0.0310111791933
2018-10-04	-0.0122350753398
2018-10-05	
2018-10-06	
2018-10-07	
2018-10-08	-0.127581811169
2018-10-09	-0.122298913342
2018-10-10	-0.101516863631
2018-10-11	-0.536854073623
2018-10-12	-0.523464140801
2018-10-13	-0.52233352255
2018-10-14	-0.516024167694
2018-10-15	-0.955010924011
2018-10-16	-0.952967432086
2018-10-17	-0.962480131629
2018-10-18	-0.0649846088748
2018-10-19	-0.0919605950047
2018-10-20	-0.077483304265
2018-10-21	-0.0661890468758
2018-10-22	-0.043736062886
2018-10-23	-0.121558053303
2018-10-24	-0.0966499646735
2018-10-25	-0.147124526722
2018-10-26	-0.121327615455
2018-10-27	-0.124290162256
2018-10-28	-0.136506025351
2018-10-29	-0.150491097812
2018-10-30	
2018-10-31	
2018-11-01	
2018-11-02	
2018-11-03	
2018-11-04	
2018-11-05	
2018-11-06	
2018-11-07	
2018-11-08	
2018-11-09	-0.568298751321
2018-11-10	-0.283710041342
2018-11-11	-0.27393942355
2018-11-12	-0.256340241616
2018-11-13	-0.445006334595
2018-11-14	-0.521340104942
2018-11-15	-0.51834368608
2018-11-16	-0.495618376494
2018-11-17	-0.685131400072
2018-11-18	-0.68946020868
2018-11-19	-0.698330603284
2018-11-20	-0.640311567926
2018-11-21	-0.480283932982
2018-11-22	-0.499346498723
2018-11-23	
2018-11-24	
2018-11-25	
2018-11-26	
2018-11-27	
2018-11-28	
2018-11-29	
2018-11-30	
2018-12-01	-0.0486533959818
2018-12-02	-0.0487510634001
2018-12-03	-0.0568121284284
2018-12-04	-0.0716124139984
2018-12-05	-0.0717886770337
2018-12-06	-0.0670704856148
2018-12-07	-0.030167124301
2018-12-08	
2018-12-09	
2018-12-10	
2018-12-11	0.489490169328
2018-12-12	0.505656284873
2018-12-13	0.485925435697
2018-12-14	0.455129966386
2018-12-15	0.0423386781206
2018-12-16	-0.105375824044
2018-12-17	-0.122796160704
2018-12-18	-0.383730150959
2018-12-19	-0.416780564483
2018-12-20	-0.407121814385
2018-12-21	-0.408199085714
2018-12-22	-0.446555560714
2018-12-23	
2018-12-24	
2018-12-25	
2018-12-26	
2018-12-27	0.373166901464
2018-12-28	0.36620083891
2018-12-29	0.381375463754
2018-12-30	0.361136731369
2018-12-31	0.387887281226
2019-01-01	0.369228619572
2019-01-02	0.175181214374
2019-01-03	0.00708871565201
2019-01-04	0.0210335513663
2019-01-05	0.0140044040726
2019-01-06	-0.00149064176392
2019-01-07	-0.307797027819
2019-01-08	-0.245545687258
2019-01-09	-0.523352419693
2019-01-10	-0.370161879928
2019-01-11	-0.358475837342
2019-01-12	-0.344113128427
2019-01-13	-0.308983553502
2019-01-14	-0.32992025878
2019-01-15	-0.362971927573
2019-01-16	-0.310905133254
2019-01-17	-0.347258226317
2019-01-18	-0.372161855572
2019-01-19	-0.355725583951
2019-01-20	-0.347638631047
2019-01-21	-0.321967523375
2019-01-22	-0.441952125037
2019-01-23	-0.637472696134
2019-01-24	-0.662360826314
2019-01-25	-0.684573120125
2019-01-26	-0.803081954138
2019-01-27	-0.807172102098
2019-01-28	-0.806268511479
2019-01-29	-0.560493842261
2019-01-30	-0.334350615815
2019-01-31	-0.324944120291
2019-02-01	-0.331425732536
2019-02-02	-0.319264496028
2019-02-03	-0.322055514735
2019-02-04	-0.306950462497
2019-02-05	
2019-02-06	
2019-02-07	
2019-02-08	
2019-02-09	
2019-02-10	
2019-02-11	
2019-02-12	
2019-02-13	
2019-02-14	-0.00619656339024
2019-02-15	-0.0194526482002
2019-02-16	-0.0164861524019
2019-02-17	-0.0360130274019
2019-02-18	-0.0345512961988
2019-02-19	-0.0402917004403
2019-02-20	-0.027177733887
2019-02-21	-0.0329808707793
2019-02-22	-0.11726362377
2019-02-23	-0.118073191675
2019-02-24	-0.102177970084
2019-02-25	-0.074219152345
2019-02-26	-0.026038982277
2019-02-27	0.0711863770643
2019-02-28	0.0606427307307
2019-03-01	0.141100538894
2019-03-02	0.142932267663
2019-03-03	0.166684572858
2019-03-04	0.150753333215
2019-03-05	0.250326829629
2019-03-06	
2019-03-07	
2019-03-08	
2019-03-09	
2019-03-10	
2019-03-11	
2019-03-12	-0.662012081795
2019-03-13	-0.116968109789
2019-03-14	-0.117667938624
2019-03-15	-0.319593666979
2019-03-16	-0.31186684317
2019-03-17	-0.331173191741
2019-03-18	-0.338483921815
