Date	CHF
2019-04-30	-4.88334579615
2019-05-01	-3.92928358636
2019-05-02	-3.98070294637
2019-05-03	-3.9222424826
2019-05-04	-2.88995068373
2019-05-05	-3.04162998591
2019-05-06	-3.04336938194
2019-05-07	-1.82226902924
2019-05-08	-1.43759365137
2019-05-09	-0.428932212516
2019-05-10	-1.21757335555
2019-05-11	-0.974427002523
2019-05-12	-0.863816002152
2019-05-13	-0.672306380928
2019-05-14	-2.70432571211
2019-05-15	-2.62567803706
2019-05-16	-1.24567646165
2019-05-17	0.161003497756
2019-05-18	-0.0766718692712
2019-05-19	-0.00747629317235
2019-05-20	-1.20001514919
2019-05-21	-1.1361664728
2019-05-22	-1.13777994339
2019-05-23	-3.53457721674
2019-05-24	-3.61296702426
2019-05-25	-3.64190416773
2019-05-26	-3.71189555138
2019-05-27	
2019-05-28	-2.74111770255
2019-05-29	-2.82465169921
2019-05-30	-2.82794848633
2019-05-31	-2.8021558075
2019-06-01	-2.53595174602
2019-06-02	-2.82551103194
2019-06-03	-2.57761543185
2019-06-04	
2019-06-05	
2019-06-06	
2019-06-07	
2019-06-08	
2019-06-09	
2019-06-10	-1.67310966918
2019-06-11	-1.74953054883
2019-06-12	-1.52423874145
2019-06-13	-1.25379362832
2019-06-14	-0.936238229337
2019-06-15	-0.987426025746
2019-06-16	-1.11843748141
2019-06-17	
2019-06-18	
2019-06-19	
2019-06-20	
2019-06-21	
2019-06-22	
2019-06-23	
2019-06-24	-4.47464345411
2019-06-25	-4.41885323281
2019-06-26	-4.10833287421
2019-06-27	-4.13375986492
2019-06-28	-3.19926298662
2019-06-29	-3.37468684919
2019-06-30	-2.52760833401
2019-07-01	-1.55005284359
2019-07-02	-1.78135476123
2019-07-03	-1.96062151828
2019-07-04	-1.98957325833
2019-07-05	-1.38010878158
2019-07-06	-1.27727058676
2019-07-07	
2019-07-08	
2019-07-09	
2019-07-10	
2019-07-11	
2019-07-12	
2019-07-13	
2019-07-14	-4.20999781093
2019-07-15	-1.94796553098
2019-07-16	-1.91754302246
2019-07-17	-2.02952442224
2019-07-18	-1.74914697479
2019-07-19	-1.72488099709
2019-07-20	-1.23826442155
2019-07-21	0.972499302671
2019-07-22	
2019-07-23	-0.106957149286
2019-07-24	-0.00853474385021
2019-07-25	-1.39206106346
2019-07-26	-1.34111778499
2019-07-27	-1.60384750264
2019-07-28	-1.62207435252
2019-07-29	-1.6849290934
2019-07-30	-2.93165215181
2019-07-31	-2.98282207765
2019-08-01	
2019-08-02	
2019-08-03	
2019-08-04	
2019-08-05	
2019-08-06	
2019-08-07	-2.98556905736
2019-08-08	-2.9632689384
2019-08-09	-2.99629169624
2019-08-10	-2.88705714489
2019-08-11	-2.72823041341
2019-08-12	-2.22593342636
2019-08-13	-2.37652249105
2019-08-14	-2.02382228805
2019-08-15	-2.07148266977
2019-08-16	-2.27588388777
2019-08-17	-2.47084935337
2019-08-18	-1.9107684962
2019-08-19	
2019-08-20	
2019-08-21	
2019-08-22	
2019-08-23	
2019-08-24	
2019-08-25	
2019-08-26	
2019-08-27	
2019-08-28	
2019-08-29	
2019-08-30	
2019-08-31	
2019-09-01	-4.23742270785
2019-09-02	-4.27135483998
2019-09-03	-5.13452126096
2019-09-04	-5.37489379928
2019-09-05	-5.57654613481
2019-09-06	-5.76995350867
2019-09-07	-5.65291646093
2019-09-08	-6.03187303128
2019-09-09	-5.79751244219
2019-09-10	
2019-09-11	
2019-09-12	
2019-09-13	-0.29088627626
2019-09-14	-0.308385499463
2019-09-15	-0.559991665212
2019-09-16	-0.662177082142
2019-09-17	-1.72329396978
2019-09-18	-1.64887713674
2019-09-19	-1.45534227515
2019-09-20	-2.41608234815
2019-09-21	-2.4581033913
2019-09-22	-2.24735393926
2019-09-23	-2.2639396177
2019-09-24	
2019-09-25	
2019-09-26	
2019-09-27	
2019-09-28	
2019-09-29	
2019-09-30	0.662049681575
2019-10-01	0.653187073064
2019-10-02	-1.96853533627
2019-10-03	-2.49047633591
2019-10-04	-2.19730832652
2019-10-05	-1.66875202815
2019-10-06	-1.93622561284
2019-10-07	-3.52807530554
2019-10-08	-3.49031312142
2019-10-09	-3.73425515946
