Date	Energy
2018-03-16	-0.330252491799
2018-03-17	-0.349929219072
2018-03-18	-0.33775378513
2018-03-19	
2018-03-20	
2018-03-21	
2018-03-22	
2018-03-23	-0.287429087437
2018-03-24	-0.250739807369
2018-03-25	-0.260960930498
2018-03-26	-0.274334930257
2018-03-27	-0.265536533255
2018-03-28	-0.267030899366
2018-03-29	-0.260631329971
2018-03-30	
2018-03-31	
2018-04-01	
2018-04-02	
2018-04-03	0.208236403528
2018-04-04	0.19853122694
2018-04-05	0.191734553952
2018-04-06	0.214044099726
2018-04-07	0.209968637952
2018-04-08	0.209486395905
2018-04-09	0.224730565705
2018-04-10	
2018-04-11	
2018-04-12	
2018-04-13	-0.348197994174
2018-04-14	-0.320482578829
2018-04-15	-0.325863313084
2018-04-16	-0.351025114084
2018-04-17	-0.242173337663
2018-04-18	-0.251283342535
2018-04-19	-0.242936227713
2018-04-20	-0.0205962112536
2018-04-21	-0.00499573094746
2018-04-22	-0.00840852799719
2018-04-23	-0.00312473197432
2018-04-24	0.0522287579239
2018-04-25	0.058985564662
2018-04-26	0.0471411631629
2018-04-27	0.0514636482196
2018-04-28	
2018-04-29	
2018-04-30	-0.116944934875
2018-05-01	-0.161108103542
2018-05-02	-0.159647877566
2018-05-03	-0.263628228392
2018-05-04	-0.264577275967
2018-05-05	-0.269619244334
2018-05-06	-0.203754193858
2018-05-07	-0.277744408897
2018-05-08	-0.347563700305
2018-05-09	-0.346254400824
2018-05-10	-0.234717107251
2018-05-11	-0.236558796296
2018-05-12	-0.212586549358
2018-05-13	-0.271856178588
2018-05-14	
2018-05-15	
2018-05-16	0.202000932222
2018-05-17	0.194666567323
2018-05-18	0.208285008143
2018-05-19	0.209774701001
2018-05-20	0.231085574517
2018-05-21	0.215880660416
2018-05-22	0.201900344719
2018-05-23	
2018-05-24	
2018-05-25	
2018-05-26	
2018-05-27	
2018-05-28	
2018-05-29	
2018-05-30	
2018-05-31	
2018-06-01	
2018-06-02	
2018-06-03	
2018-06-04	
2018-06-05	
2018-06-06	
2018-06-07	
2018-06-08	
2018-06-09	
2018-06-10	
2018-06-11	
2018-06-12	
2018-06-13	
2018-06-14	
2018-06-15	
2018-06-16	
2018-06-17	
2018-06-18	
2018-06-19	
2018-06-20	
2018-06-21	
2018-06-22	
2018-06-23	
2018-06-24	
2018-06-25	
2018-06-26	
2018-06-27	
2018-06-28	
2018-06-29	
2018-06-30	
2018-07-01	
2018-07-02	
2018-07-03	
2018-07-04	
2018-07-05	
2018-07-06	
2018-07-07	
2018-07-08	
2018-07-09	
2018-07-10	
2018-07-11	
2018-07-12	
2018-07-13	
2018-07-14	
2018-07-15	
2018-07-16	
2018-07-17	-0.352046950707
2018-07-18	-0.234296105661
2018-07-19	-0.24745555886
2018-07-20	-0.239576442942
2018-07-21	-0.20716959183
2018-07-22	-0.175468787545
2018-07-23	-0.174952556492
2018-07-24	-0.0403493440997
2018-07-25	
2018-07-26	
2018-07-27	
2018-07-28	
2018-07-29	
2018-07-30	-0.137892388328
2018-07-31	-0.142422891595
2018-08-01	-0.123137008102
2018-08-02	-0.114740158964
2018-08-03	-0.116758996484
2018-08-04	-0.0697761821978
2018-08-05	-0.0521032715541
2018-08-06	
2018-08-07	
2018-08-08	
2018-08-09	
2018-08-10	
2018-08-11	
2018-08-12	
2018-08-13	
2018-08-14	
2018-08-15	
2018-08-16	
2018-08-17	
2018-08-18	
2018-08-19	
2018-08-20	
2018-08-21	
2018-08-22	
2018-08-23	
2018-08-24	
2018-08-25	
2018-08-26	
2018-08-27	0.0742617195406
2018-08-28	0.115081826883
2018-08-29	0.114072138549
2018-08-30	0.100367228527
2018-08-31	0.0897924647673
2018-09-01	0.0934316670471
2018-09-02	0.0931525907806
2018-09-03	0.125484704537
2018-09-04	
2018-09-05	
2018-09-06	
2018-09-07	
2018-09-08	
2018-09-09	
2018-09-10	
2018-09-11	
2018-09-12	
2018-09-13	
2018-09-14	
2018-09-15	
2018-09-16	
2018-09-17	
2018-09-18	
2018-09-19	
2018-09-20	
2018-09-21	
2018-09-22	
2018-09-23	
2018-09-24	
2018-09-25	
2018-09-26	
2018-09-27	
2018-09-28	
2018-09-29	-0.18078217588
2018-09-30	-0.181158640024
2018-10-01	-0.207304109642
2018-10-02	-0.202321922365
2018-10-03	-0.22316452971
2018-10-04	-0.22825853919
2018-10-05	-0.227749086867
2018-10-06	
2018-10-07	
2018-10-08	
2018-10-09	
2018-10-10	
2018-10-11	
2018-10-12	
2018-10-13	
2018-10-14	-0.175664347705
2018-10-15	-0.194095047357
2018-10-16	-0.233855218691
2018-10-17	-0.244971585265
2018-10-18	-0.261172930017
2018-10-19	-0.185524941087
2018-10-20	-0.188992947646
2018-10-21	-0.173330702435
2018-10-22	-0.152043794591
2018-10-23	-0.0357503818841
2018-10-24	-0.0286252873822
2018-10-25	-0.0383270504343
2018-10-26	-0.380334966435
2018-10-27	-0.372750114207
2018-10-28	-0.402078330788
2018-10-29	-0.406411812243
2018-10-30	-0.406351790959
2018-10-31	-0.409462302353
2018-11-01	-0.382872321833
2018-11-02	-0.402798319054
2018-11-03	-0.402913873378
2018-11-04	-0.365386886567
2018-11-05	-0.422797017094
2018-11-06	-0.433357252349
2018-11-07	-0.449698861437
2018-11-08	-0.507336796539
2018-11-09	-0.49546897716
2018-11-10	-0.479805022589
2018-11-11	-0.480531862981
2018-11-12	
2018-11-13	
2018-11-14	
2018-11-15	
2018-11-16	
2018-11-17	
2018-11-18	
2018-11-19	
2018-11-20	
2018-11-21	
2018-11-22	
2018-11-23	
2018-11-24	
2018-11-25	
2018-11-26	
2018-11-27	
2018-11-28	
2018-11-29	
2018-11-30	
2018-12-01	
2018-12-02	
2018-12-03	0.167511537225
2018-12-04	0.146030434585
2018-12-05	0.148130290594
2018-12-06	0.174065233976
2018-12-07	0.157993984163
2018-12-08	-0.0733809991702
2018-12-09	-0.0545789319624
2018-12-10	-0.190180781091
2018-12-11	-0.177953266106
2018-12-12	-0.184345305242
2018-12-13	-0.226064889999
2018-12-14	-0.63446086676
2018-12-15	
2018-12-16	
2018-12-17	
2018-12-18	
2018-12-19	
2018-12-20	
2018-12-21	-0.704273411778
2018-12-22	-0.72961735011
2018-12-23	-0.716716958273
2018-12-24	-0.734778582962
2018-12-25	-0.763472474786
2018-12-26	-0.738749068323
2018-12-27	-0.733224942068
2018-12-28	
2018-12-29	
2018-12-30	
2018-12-31	
2019-01-01	
2019-01-02	
2019-01-03	
2019-01-04	
2019-01-05	
2019-01-06	
2019-01-07	
2019-01-08	
2019-01-09	
2019-01-10	
2019-01-11	
2019-01-12	
2019-01-13	
2019-01-14	-0.458980825674
2019-01-15	-0.459530933039
2019-01-16	-0.441439297521
2019-01-17	-0.427916603644
2019-01-18	-0.210999082651
2019-01-19	-0.113893041291
2019-01-20	-0.188933014505
2019-01-21	-0.232341510341
2019-01-22	-0.26602492293
2019-01-23	-0.271366765545
2019-01-24	-0.275455533392
2019-01-25	-0.367135417701
2019-01-26	-0.500110592871
2019-01-27	-0.455886343722
2019-01-28	-0.378476975136
2019-01-29	-0.323588154986
2019-01-30	-0.338708499487
2019-01-31	-0.329671519363
2019-02-01	-0.344094592716
2019-02-02	-0.333109264609
2019-02-03	-0.274181644711
2019-02-04	-0.295138373924
2019-02-05	-0.330364533263
2019-02-06	-0.360707492676
2019-02-07	-0.384226841812
2019-02-08	-0.444058382216
2019-02-09	-0.465251789882
2019-02-10	-0.522999147025
2019-02-11	-0.524488848012
2019-02-12	-0.525442012158
2019-02-13	-0.51664865669
2019-02-14	-0.497848796912
2019-02-15	-0.370714176163
2019-02-16	-0.36235438572
2019-02-17	-0.354088285344
2019-02-18	
2019-02-19	
2019-02-20	
2019-02-21	
2019-02-22	
2019-02-23	
2019-02-24	
2019-02-25	
2019-02-26	
2019-02-27	
2019-02-28	
2019-03-01	-0.122812772301
2019-03-02	-0.11466348054
2019-03-03	-0.304759492314
2019-03-04	-0.317486080107
2019-03-05	-0.35859919167
2019-03-06	-0.337449890717
2019-03-07	-0.307899200241
2019-03-08	-0.42974480875
2019-03-09	-0.416313437152
2019-03-10	-0.409110148546
2019-03-11	-0.404205243952
2019-03-12	-0.417584866941
2019-03-13	-0.430332762422
2019-03-14	-0.446603530279
2019-03-15	-0.477099235496
2019-03-16	-0.475764639005
2019-03-17	-0.497602146148
2019-03-18	
2019-03-19	
2019-03-20	
2019-03-21	
2019-03-22	
2019-03-23	
2019-03-24	
2019-03-25	
2019-03-26	
2019-03-27	
2019-03-28	
2019-03-29	-0.562308645988
2019-03-30	-0.548088810454
2019-03-31	-0.551381590612
2019-04-01	-0.318480483694
2019-04-02	-0.302785149767
2019-04-03	-0.297161788372
2019-04-04	-0.292933182799
2019-04-05	-0.0478124511974
