Date	Materials
2018-10-14	-0.116800069573
2018-10-15	-0.0980678820598
2018-10-16	-0.049812770421
2018-10-17	
2018-10-18	-0.0198005883764
2018-10-19	-0.122760275317
2018-10-20	-0.119779752789
2018-10-21	-0.117443548591
2018-10-22	-0.109148547314
2018-10-23	-0.108649750392
2018-10-24	-0.0955593415707
2018-10-25	-0.192753303845
2018-10-26	-0.289915728858
2018-10-27	-0.28575844383
2018-10-28	-0.277952438917
2018-10-29	-0.300423635583
2018-10-30	-0.301469767775
2018-10-31	-0.314191830603
2018-11-01	-0.230406423915
2018-11-02	-0.156613031696
2018-11-03	-0.157450067639
2018-11-04	-0.179190275375
2018-11-05	-0.364223540983
2018-11-06	-0.36137285512
2018-11-07	-0.290429651913
2018-11-08	-0.296164280806
2018-11-09	-0.288982831336
2018-11-10	-0.297228488565
2018-11-11	-0.297174684368
2018-11-12	-0.159080268285
2018-11-13	-0.165477959114
2018-11-14	-0.178984845104
2018-11-15	
2018-11-16	-0.817651910306
2018-11-17	-0.831416219244
2018-11-18	-0.854811819211
2018-11-19	-0.864636219211
2018-11-20	-0.870524356284
2018-11-21	-0.87406070075
2018-11-22	-0.859289771239
2018-11-23	
2018-11-24	-0.636422920226
2018-11-25	-0.602574406898
2018-11-26	-0.586061878928
2018-11-27	-0.582836679233
2018-11-28	-0.586721507121
2018-11-29	-0.580442750998
2018-11-30	-0.592810669811
2018-12-01	
2018-12-02	
2018-12-03	
2018-12-04	
2018-12-05	
2018-12-06	
2018-12-07	
2018-12-08	
2018-12-09	
2018-12-10	
2018-12-11	
2018-12-12	-0.0565519370538
2018-12-13	-0.139575802866
2018-12-14	-0.150162292602
2018-12-15	-0.13774648903
2018-12-16	-0.142961579507
2018-12-17	-0.148768802855
2018-12-18	-0.34795119299
2018-12-19	-0.222949115345
2018-12-20	-0.200649324136
2018-12-21	-0.165886998719
2018-12-22	-0.189934214055
2018-12-23	-0.172289488658
2018-12-24	-0.175709581976
2018-12-25	0.0805163684879
2018-12-26	-0.0803751547352
2018-12-27	-0.0952026343271
2018-12-28	
2018-12-29	
2018-12-30	
2018-12-31	
2019-01-01	
2019-01-02	-0.382397935961
2019-01-03	-0.374567749126
2019-01-04	-0.376760146809
2019-01-05	-0.376881896809
2019-01-06	-0.375298948397
2019-01-07	-0.283226651373
2019-01-08	-0.251045273883
2019-01-09	0.091732086669
2019-01-10	0.0463389576568
2019-01-11	0.0557458683711
2019-01-12	0.0614631002552
2019-01-13	0.0988750645409
2019-01-14	0.198498709339
2019-01-15	0.0163547963448
2019-01-16	-0.0944188884127
2019-01-17	-0.12749394577
2019-01-18	-0.174537242613
2019-01-19	-0.173148891163
2019-01-20	-0.376661523995
2019-01-21	-0.404161433217
2019-01-22	-0.194062909385
2019-01-23	-0.301597454995
2019-01-24	-0.30357062825
2019-01-25	-0.310187889741
2019-01-26	-0.32568351229
2019-01-27	-0.312093270614
2019-01-28	-0.28257134908
2019-01-29	-0.271048282806
2019-01-30	-0.0710338236836
