Date	Information Technology
2018-01-08	0.135191627159
2018-01-09	0.136675137809
2018-01-10	0.137477599439
2018-01-11	0.138742254416
2018-01-12	0.13993896849
2018-01-13	0.130101735111
2018-01-14	0.131789440236
2018-01-15	0.12788466987
2018-01-16	0.129965244826
2018-01-17	0.131070412704
2018-01-18	-0.136446996974
2018-01-19	-0.133046794458
2018-01-20	-0.131611534476
2018-01-21	-0.126506593498
2018-01-22	-0.166023910742
2018-01-23	-0.203757286858
2018-01-24	-0.202959816087
2018-01-25	-0.202751154222
2018-01-26	-0.142267337257
2018-01-27	-0.141373335954
2018-01-28	-0.139294670074
2018-01-29	-0.0872049432969
2018-01-30	-0.086753252493
2018-01-31	-0.187838854102
2018-02-01	-0.185792922257
2018-02-02	-0.182895796493
2018-02-03	-0.177818547823
2018-02-04	-0.179093925082
2018-02-05	-0.175352443525
2018-02-06	-0.170012520367
2018-02-07	-0.168865468117
2018-02-08	-0.16810528075
2018-02-09	-0.165422902907
2018-02-10	-0.164636620881
2018-02-11	-0.163985612602
2018-02-12	-0.165252990317
2018-02-13	-0.165270517793
2018-02-14	-0.162386404538
2018-02-15	-0.16071534245
2018-02-16	-0.101973735471
2018-02-17	-0.136620475063
2018-02-18	-0.137258756788
2018-02-19	-0.139392112901
2018-02-20	-0.14042721848
2018-02-21	-0.135686907917
2018-02-22	-0.137775256877
2018-02-23	-0.138838682927
2018-02-24	-0.136794621021
2018-02-25	-0.148596943134
2018-02-26	-0.149800826464
2018-02-27	-0.14975206504
2018-02-28	-0.181228353
2018-03-01	-0.180581725028
2018-03-02	-0.121541527143
2018-03-03	-0.122297362304
2018-03-04	-0.123162213577
2018-03-05	-0.182943818264
2018-03-06	-0.183489149502
2018-03-07	-0.225451593029
2018-03-08	-0.195447138179
2018-03-09	-0.194028300817
2018-03-10	-0.194611816715
2018-03-11	-0.194020886104
2018-03-12	-0.214868273654
2018-03-13	-0.218588621499
2018-03-14	-0.215766718042
2018-03-15	-0.213151080202
2018-03-16	-0.234197808298
2018-03-17	-0.233052472237
2018-03-18	-0.267761317547
2018-03-19	-0.266093536859
2018-03-20	-0.266348271997
2018-03-21	-0.27293589402
2018-03-22	-0.29014122996
2018-03-23	-0.273165891659
2018-03-24	-0.30493494343
2018-03-25	-0.300786944684
2018-03-26	-0.308268843155
2018-03-27	-0.299375187553
2018-03-28	-0.293420194616
2018-03-29	-0.28793340041
2018-03-30	-0.283622483863
2018-03-31	-0.280768054292
2018-04-01	-0.278787402204
2018-04-02	-0.27231921022
2018-04-03	-0.270049558437
2018-04-04	-0.254888106532
2018-04-05	-0.250860181138
2018-04-06	-0.24270134644
2018-04-07	-0.265093074936
2018-04-08	-0.262327760343
2018-04-09	-0.260967054548
2018-04-10	-0.237845858933
2018-04-11	-0.231189460024
2018-04-12	-0.220289549715
2018-04-13	-0.220716618611
2018-04-14	-0.220919538255
2018-04-15	-0.204254973585
2018-04-16	-0.193304465034
2018-04-17	-0.189670106766
2018-04-18	-0.202429121766
2018-04-19	-0.185577333676
2018-04-20	-0.186482367961
2018-04-21	-0.177247548589
2018-04-22	-0.191653303685
2018-04-23	-0.164649279129
2018-04-24	-0.174660198569
2018-04-25	-0.158815145579
2018-04-26	-0.175002278795
2018-04-27	-0.161237966498
2018-04-28	-0.165001857895
2018-04-29	-0.168206025641
2018-04-30	-0.171295892852
2018-05-01	-0.167985015045
2018-05-02	-0.170532770579
2018-05-03	-0.172445707154
2018-05-04	-0.17719312152
2018-05-05	-0.179418272367
2018-05-06	-0.163411178346
2018-05-07	-0.18198365169
2018-05-08	-0.185804713996
2018-05-09	-0.188916004959
2018-05-10	-0.204901253995
2018-05-11	-0.199044462067
2018-05-12	-0.209169001537
2018-05-13	-0.212248477608
2018-05-14	-0.21521134732
2018-05-15	-0.215966201416
2018-05-16	-0.233178193626
2018-05-17	-0.234876906605
2018-05-18	-0.209632111115
2018-05-19	-0.231442765917
2018-05-20	-0.225283457395
2018-05-21	-0.228209622603
2018-05-22	-0.229014311936
2018-05-23	-0.229372851955
2018-05-24	-0.221087166468
2018-05-25	-0.222323811497
2018-05-26	-0.190978482891
2018-05-27	-0.226025970402
2018-05-28	-0.229424326311
2018-05-29	-0.229833074499
2018-05-30	-0.230851334858
2018-05-31	-0.25231969475
2018-06-01	-0.286847804093
2018-06-02	-0.289257433695
2018-06-03	-0.291488407679
2018-06-04	-0.293478217823
2018-06-05	-0.299123492418
2018-06-06	-0.245580275523
2018-06-07	-0.276623221955
2018-06-08	-0.274581147584
2018-06-09	-0.276547082709
2018-06-10	-0.282331617244
2018-06-11	-0.28573024559
2018-06-12	-0.286844318719
2018-06-13	-0.287074036341
2018-06-14	-0.289517355703
2018-06-15	-0.290509755312
2018-06-16	-0.28733210447
2018-06-17	-0.289541379095
2018-06-18	-0.290703494162
2018-06-19	-0.293625841547
2018-06-20	-0.295017522515
2018-06-21	-0.293191295711
2018-06-22	-0.292257177422
2018-06-23	
2018-06-24	
2018-06-25	
2018-06-26	
2018-06-27	
2018-06-28	-0.500601745978
2018-06-29	-0.500585322089
2018-06-30	-0.504172730491
2018-07-01	-0.509734343279
2018-07-02	-0.19009338847
2018-07-03	-0.188954278708
2018-07-04	-0.189038449493
2018-07-05	-0.187977778835
2018-07-06	-0.184908441514
2018-07-07	-0.18768477006
2018-07-08	-0.193982328602
2018-07-09	-0.194023248566
2018-07-10	-0.192568244238
2018-07-11	-0.272624703144
2018-07-12	-0.270326619761
2018-07-13	-0.328205921569
2018-07-14	-0.330179886429
2018-07-15	-0.316138821509
2018-07-16	-0.296947046213
2018-07-17	-0.294984790843
2018-07-18	-0.28155921568
2018-07-19	-0.252912553016
2018-07-20	-0.251077729303
2018-07-21	-0.251605177472
2018-07-22	-0.256643625049
2018-07-23	-0.253340210336
2018-07-24	-0.25570572124
2018-07-25	-0.280908434169
2018-07-26	-0.277328915721
2018-07-27	-0.295240734616
2018-07-28	-0.269970766958
2018-07-29	-0.267471856032
2018-07-30	-0.261345701511
2018-07-31	-0.299233152332
2018-08-01	-0.348995811826
2018-08-02	-0.347664144769
2018-08-03	-0.363007554292
2018-08-04	-0.362666623725
2018-08-05	-0.359235366508
2018-08-06	-0.329071371379
2018-08-07	-0.325445480185
2018-08-08	-0.324497806838
2018-08-09	-0.323044023195
2018-08-10	-0.312820403588
2018-08-11	-0.315150741983
2018-08-12	-0.303865686224
2018-08-13	-0.300067735325
2018-08-14	-0.309174177447
2018-08-15	-0.333760543801
2018-08-16	-0.334654865151
2018-08-17	-0.36268834809
2018-08-18	-0.429968733133
2018-08-19	-0.436341464895
2018-08-20	-0.437404310533
2018-08-21	-0.438808890119
2018-08-22	-0.416152134784
2018-08-23	-0.38781385509
2018-08-24	-0.383834589291
2018-08-25	-0.392498815626
2018-08-26	-0.392076025308
2018-08-27	-0.392990054364
2018-08-28	-0.397774314681
2018-08-29	-0.403606400353
2018-08-30	-0.341117831206
2018-08-31	-0.341656516977
2018-09-01	-0.349539156453
2018-09-02	-0.307565065836
2018-09-03	-0.314374264736
2018-09-04	-0.319020615434
2018-09-05	-0.268125716698
2018-09-06	-0.267977951225
2018-09-07	-0.308872562654
2018-09-08	-0.317312533131
2018-09-09	-0.328403277077
2018-09-10	-0.328245757516
2018-09-11	-0.325075140105
2018-09-12	-0.325372882585
2018-09-13	-0.325972490308
2018-09-14	-0.328910392823
2018-09-15	-0.337021741557
2018-09-16	-0.34607005989
2018-09-17	-0.348915404463
2018-09-18	-0.347050771851
2018-09-19	-0.348701960846
2018-09-20	-0.29448607525
2018-09-21	-0.265227513321
2018-09-22	-0.251981287281
2018-09-23	-0.258319046415
2018-09-24	-0.372671916961
2018-09-25	-0.365657959052
2018-09-26	-0.36526852867
2018-09-27	-0.363797771458
2018-09-28	-0.361002481261
2018-09-29	-0.364979543347
2018-09-30	-0.371774743563
2018-10-01	-0.366432491609
2018-10-02	-0.364463697492
2018-10-03	-0.363523635888
2018-10-04	-0.36762309595
2018-10-05	-0.560397138557
2018-10-06	-0.567469107271
2018-10-07	-0.616303295975
2018-10-08	-0.608785481522
2018-10-09	-0.602511263884
2018-10-10	-0.600838904784
2018-10-11	-0.600564081506
2018-10-12	-0.601495219742
2018-10-13	-0.605525638323
2018-10-14	-0.6076892771
2018-10-15	-0.601604786528
2018-10-16	-0.598670657886
2018-10-17	-0.598805025469
2018-10-18	-0.598690126306
2018-10-19	-0.59670726337
2018-10-20	-0.598847096808
2018-10-21	-0.605099621251
2018-10-22	-0.599683943988
2018-10-23	-0.590383382148
2018-10-24	
2018-10-25	
2018-10-26	
2018-10-27	
2018-10-28	
2018-10-29	
2018-10-30	
2018-10-31	-0.400292329405
2018-11-01	-0.397085507724
2018-11-02	-0.391341995886
2018-11-03	-0.392981710655
2018-11-04	-0.400095830053
2018-11-05	-0.394854964537
2018-11-06	-0.391663490882
2018-11-07	-0.395799565302
2018-11-08	-0.39685118933
2018-11-09	-0.396837738832
2018-11-10	-0.401640639185
2018-11-11	-0.409285457229
2018-11-12	-0.403067846111
2018-11-13	-0.396299652583
2018-11-14	-0.39690554307
2018-11-15	-0.396471243603
2018-11-16	-0.394405043991
2018-11-17	-0.398686346544
2018-11-18	-0.405415177054
2018-11-19	-0.399132318792
2018-11-20	-0.389726126925
2018-11-21	-0.389269313842
2018-11-22	-0.397478886159
2018-11-23	-0.40053623835
2018-11-24	-0.347656058588
2018-11-25	-0.360423658017
2018-11-26	-0.357825877687
2018-11-27	-0.357454412676
2018-11-28	-0.394641354837
2018-11-29	-0.397077391389
2018-11-30	-0.511617238734
2018-12-01	-0.516924788655
2018-12-02	-0.523857649285
2018-12-03	-0.520215938369
2018-12-04	-0.51241203158
2018-12-05	-0.51289483129
2018-12-06	-0.50909835248
2018-12-07	-0.505190753066
2018-12-08	-0.503325547874
2018-12-09	-0.501389167716
2018-12-10	-0.493908160951
2018-12-11	-0.48590337351
2018-12-12	-0.487659585849
2018-12-13	-0.491068823034
2018-12-14	-0.488032611481
2018-12-15	-0.489470695659
2018-12-16	-0.496192208413
2018-12-17	-0.492776355983
2018-12-18	-0.486478171836
2018-12-19	-0.486456666911
2018-12-20	-0.489653195139
2018-12-21	-0.391248792131
2018-12-22	-0.392070700836
2018-12-23	-0.394228905079
