Date	BancoCentralDoBrasil Excess Sentiment
2019-04-22	-1.95227544876
2019-04-23	
2019-04-24	
2019-04-25	
2019-04-26	-3.45692364027
2019-04-27	-3.34103436018
2019-04-28	-3.36936233339
2019-04-29	-1.26690692209
2019-04-30	-1.29965731335
2019-05-01	-1.28187372498
2019-05-02	-1.25968067486
2019-05-03	1.43749856148
2019-05-04	1.29831480833
2019-05-05	1.49268744781
2019-05-06	1.4157782711
2019-05-07	1.47652897214
2019-05-08	1.53282011959
2019-05-09	0.38766679741
2019-05-10	-0.324489869691
2019-05-11	-0.481685645654
2019-05-12	-0.665688764105
2019-05-13	-0.744555075529
2019-05-14	-1.25078022713
2019-05-15	-1.16576281617
2019-05-16	-0.856700847508
2019-05-17	-0.760707247097
2019-05-18	-0.693909288215
2019-05-19	-0.69758416952
2019-05-20	-1.19036193765
2019-05-21	-1.40159220207
2019-05-22	-1.74817796469
2019-05-23	0.161966788704
2019-05-24	0.132208527699
2019-05-25	0.111335414408
2019-05-26	0.172531063526
2019-05-27	1.37719422557
2019-05-28	1.31247258136
2019-05-29	0.734761679038
2019-05-30	0.3430939318
2019-05-31	0.340087597796
2019-06-01	0.37379649306
2019-06-02	0.274780289748
2019-06-03	-0.335599852624
2019-06-04	-0.319165011485
2019-06-05	
2019-06-06	
2019-06-07	-1.10082203964
2019-06-08	-1.15264557645
2019-06-09	-1.08846411444
2019-06-10	-0.852952286456
2019-06-11	-0.932698721728
2019-06-12	-0.893348862895
2019-06-13	-0.863026268307
2019-06-14	-0.655616893455
2019-06-15	-0.496546463094
2019-06-16	-0.478023102911
2019-06-17	
2019-06-18	-1.99001912521
2019-06-19	-1.19265019718
2019-06-20	-1.09954484801
2019-06-21	-0.814782444987
2019-06-22	-0.895332816352
2019-06-23	-0.926599616077
2019-06-24	-0.992869314134
2019-06-25	-1.01646242201
2019-06-26	-1.10612281085
2019-06-27	-1.20930403931
2019-06-28	-2.07894808945
2019-06-29	-2.09161247044
2019-06-30	-2.06971938576
2019-07-01	-1.73500341096
2019-07-02	-1.00626207279
2019-07-03	-1.03113210876
2019-07-04	-0.909438400761
2019-07-05	0.464592407372
2019-07-06	0.576592172232
2019-07-07	0.549569032849
2019-07-08	0.726299534136
2019-07-09	
2019-07-10	
2019-07-11	
2019-07-12	
2019-07-13	
2019-07-14	
2019-07-15	
2019-07-16	
2019-07-17	
2019-07-18	
2019-07-19	
2019-07-20	
2019-07-21	
2019-07-22	-1.28069849831
2019-07-23	-2.12403840469
2019-07-24	-2.15997029086
2019-07-25	-2.21391383548
2019-07-26	-2.20400693952
2019-07-27	-2.11234389835
2019-07-28	-2.05000089073
2019-07-29	-2.77390583901
2019-07-30	-2.00747741385
2019-07-31	-1.73001457106
2019-08-01	-1.20582255958
2019-08-02	-1.16743403639
2019-08-03	-1.16582299373
2019-08-04	-1.60920835028
2019-08-05	-1.33882379089
2019-08-06	-0.682772131718
2019-08-07	-0.532655425843
2019-08-08	-1.01610188467
2019-08-09	-1.06601589256
2019-08-10	-1.01244203162
2019-08-11	1.28276972388
2019-08-12	1.23920367961
2019-08-13	
2019-08-14	
2019-08-15	-2.70766614562
2019-08-16	-1.77775342572
2019-08-17	-1.83577636806
2019-08-18	-1.97247212617
2019-08-19	-1.48278409491
2019-08-20	-1.56124302125
2019-08-21	-1.59614794353
2019-08-22	-0.819454784556
2019-08-23	1.2620082062
2019-08-24	1.19970218709
2019-08-25	0.176081707941
2019-08-26	-0.664159086289
2019-08-27	-1.1099232122
2019-08-28	-1.02635657107
2019-08-29	-1.05213066187
2019-08-30	-2.17667317474
2019-08-31	-2.21455391456
2019-09-01	-2.6379274237
2019-09-02	-2.52743619125
2019-09-03	-2.45235658979
2019-09-04	-1.67345555695
2019-09-05	-1.73934748988
2019-09-06	-1.20422380135
2019-09-07	-1.24299642066
2019-09-08	1.34477617288
2019-09-09	-0.330776805716
2019-09-10	-0.415171948343
2019-09-11	-1.31472416712
2019-09-12	-0.455475343358
2019-09-13	-0.734145578827
2019-09-14	-0.707921122317
2019-09-15	-0.71700552293
2019-09-16	-0.675486200506
2019-09-17	-0.628932279655
2019-09-18	-0.877008238644
2019-09-19	-1.44301390463
2019-09-20	-1.78710385068
2019-09-21	-1.72714339554
2019-09-22	-1.19135227652
2019-09-23	-1.07505786965
2019-09-24	-0.786103280246
2019-09-25	-0.575209551193
2019-09-26	-0.827551599981
2019-09-27	-0.210050768248
2019-09-28	-0.0512452807544
2019-09-29	-0.484200944703
2019-09-30	-0.801895548527
2019-10-01	-1.95393372492
2019-10-02	-1.91041176653
2019-10-03	-1.40394530135
2019-10-04	-1.39378886332
2019-10-05	-3.05621838056
2019-10-06	-2.96357283449
