Date	SARB Hawkish-Dovish
2017-12-06	0.000293944738389
2017-12-07	0.000293944738389
2017-12-08	0.000293944738389
2017-12-09	0.000293944738389
2017-12-10	0.000293944738389
2017-12-11	0.0
2017-12-12	0.0
2017-12-13	0.0
2017-12-14	0.0
2017-12-15	0.0
2017-12-16	0.0
2017-12-17	0.0
2017-12-18	0.0
2017-12-19	0.0
2017-12-20	0.0
2017-12-21	0.0
2017-12-22	-0.000357142857143
2017-12-23	-0.000357142857143
2017-12-24	-0.000357142857143
2017-12-25	-0.000357142857143
2017-12-26	-0.000357142857143
2017-12-27	-0.000357142857143
2017-12-28	-0.000357142857143
2017-12-29	5.20417042793e-18
2017-12-30	5.20417042793e-18
2017-12-31	5.20417042793e-18
2018-01-01	5.20417042793e-18
2018-01-02	5.20417042793e-18
2018-01-03	-0.000316756414317
2018-01-04	-0.000316756414317
2018-01-05	-0.000627992019671
2018-01-06	-0.000627992019671
2018-01-07	-0.000627992019671
2018-01-08	-0.000627992019671
2018-01-09	-0.000627992019671
2018-01-10	-0.000311235605353
2018-01-11	-0.000311235605353
2018-01-12	5.14996031931e-18
2018-01-13	5.14996031931e-18
2018-01-14	5.14996031931e-18
2018-01-15	5.20417042793e-18
2018-01-16	5.20417042793e-18
2018-01-17	4.77048955894e-18
2018-01-18	5.20417042793e-18
2018-01-19	0.000281769512539
2018-01-20	0.000281769512539
2018-01-21	0.000281769512539
2018-01-22	0.000281769512539
2018-01-23	-1.64708692089e-05
2018-01-24	-1.64708692089e-05
2018-01-25	0.000248570212159
2018-01-26	-3.31993003801e-05
2018-01-27	-3.31993003801e-05
2018-01-28	-3.31993003801e-05
2018-01-29	0.000261351509635
2018-01-30	0.000559591891382
2018-01-31	0.000249032885171
2018-02-01	-1.60081961964e-05
2018-02-02	0.000283482669332
2018-02-03	0.000283482669332
2018-02-04	0.000283482669332
2018-02-05	-1.10681406826e-05
2018-02-06	-1.10681406826e-05
2018-02-07	0.000299490865529
2018-02-08	0.000299490865529
2018-02-09	1.17713378727e-18
2018-02-10	1.17713378727e-18
2018-02-11	1.17713378727e-18
2018-02-12	1.17713378727e-18
2018-02-13	1.17713378727e-18
2018-02-14	1.17713378727e-18
2018-02-15	1.17713378727e-18
2018-02-16	-0.000338524035206
2018-02-17	-0.000338524035206
2018-02-18	-0.00104925608922
